Case Number,Primary Type,Arrest,Latitude,Longitude,Date
JJ100155,BATTERY,Yes,41.8490592,-87.6390276,01/01/2025 12:00:00 AM
JJ100195,BATTERY,Yes,41.89389317,-87.61512764,01/01/2025 12:00:00 AM
JJ100848,THEFT,Yes,41.81261053,-87.72376507,01/01/2025 12:00:00 AM
JJ100054,CRIMINAL DAMAGE,No,41.85228388,-87.62378953,01/01/2025 12:00:00 AM
JJ100060,CRIMINAL DAMAGE,No,41.75478387,-87.56144281,01/01/2025 12:00:00 AM
JJ100169,CRIMINAL DAMAGE,No,41.81749936,-87.62630137,01/01/2025 12:00:00 AM
JJ100354,CRIMINAL DAMAGE,No,41.91777897,-87.72901884,01/01/2025 12:00:00 AM
JJ100384,BATTERY,No,41.87321963,-87.67586867,01/01/2025 12:00:00 AM
JJ100473,CRIMINAL DAMAGE,No,41.90356363,-87.72741904,01/01/2025 12:00:00 AM
JJ100494,WEAPONS VIOLATION,No,41.94022827,-87.71743111,01/01/2025 12:00:00 AM
JJ100512,WEAPONS VIOLATION,No,41.81598534,-87.61977723,01/01/2025 12:00:00 AM
JJ100554,CRIMINAL DAMAGE,No,41.73950128,-87.71737431,01/01/2025 12:00:00 AM
JJ100586,CRIMINAL DAMAGE,No,41.71002988,-87.62718726,01/01/2025 12:00:00 AM
JJ100621,CRIMINAL DAMAGE,No,41.77165606,-87.62673905,01/01/2025 12:00:00 AM
JJ100648,WEAPONS VIOLATION,No,41.91925369,-87.72662028,01/01/2025 12:00:00 AM
JJ100746,THEFT,No,41.8629061,-87.65685888,01/01/2025 12:00:00 AM
JJ100751,WEAPONS VIOLATION,No,41.82301366,-87.62158497,01/01/2025 12:00:00 AM
JJ100759,BURGLARY,No,41.77043737,-87.72864782,01/01/2025 12:00:00 AM
JJ100808,CRIMINAL DAMAGE,No,41.65375964,-87.60211097,01/01/2025 12:00:00 AM
JJ100812,THEFT,No,41.87860655,-87.76480459,01/01/2025 12:00:00 AM
JJ100814,THEFT,No,41.91709101,-87.73231743,01/01/2025 12:00:00 AM
JJ101650,CRIMINAL DAMAGE,No,41.7014848,-87.59414053,01/01/2025 12:00:00 AM
JJ101927,OTHER OFFENSE,No,41.7784643,-87.73913867,01/01/2025 12:00:00 AM
JJ103730,SEX OFFENSE,No,41.89269288,-87.71135406,01/01/2025 12:00:00 AM
JJ108429,OTHER OFFENSE,No,41.7784643,-87.69333887,01/01/2025 12:00:00 AM
JJ110451,CRIMINAL DAMAGE,No,41.71988623,-87.65290684,01/01/2025 12:00:00 AM
JJ113691,OTHER OFFENSE,No,41.76680404,-87.60561968,01/01/2025 12:00:00 AM
JJ113979,OTHER OFFENSE,No,41.99653212,-87.69106716,01/01/2025 12:00:00 AM
JJ118245,CRIMINAL DAMAGE,No,41.94629477,-87.65308511,01/01/2025 12:00:00 AM
JJ119668,OTHER OFFENSE,No,41.9012236,-87.6853451,01/01/2025 12:00:00 AM
JJ122405,OTHER OFFENSE,No,41.90317036,-87.75438197,01/01/2025 12:00:00 AM
JJ123341,BURGLARY,No,41.82818921,-87.69882869,01/01/2025 12:00:00 AM
JJ127810,DECEPTIVE PRACTICE,No,41.90669952,-87.75712367,01/01/2025 12:00:00 AM
JJ127890,OFFENSE INVOLVING CHILDREN,No,41.80180157,-87.63383487,01/01/2025 12:00:00 AM
JJ130341,DECEPTIVE PRACTICE,No,41.76605294,-87.66870908,01/01/2025 12:00:00 AM
JJ130440,DECEPTIVE PRACTICE,No,41.74863086,-87.62131882,01/01/2025 12:00:00 AM
JJ132450,OTHER OFFENSE,No,41.79408194,-87.66142628,01/01/2025 12:00:00 AM
JJ137658,THEFT,No,41.94551762,-87.7233167,01/01/2025 12:00:00 AM
JJ138185,DECEPTIVE PRACTICE,No,41.70595373,-87.6488203,01/01/2025 12:00:00 AM
JJ142045,SEX OFFENSE,No,41.7761514,-87.64165127,01/01/2025 12:00:00 AM
JJ100016,WEAPONS VIOLATION,No,42.01945302,-87.68110637,01/01/2025 12:01:00 AM
JJ100308,CRIMINAL DAMAGE,No,41.75191365,-87.64529046,01/01/2025 12:01:00 AM
JJ100369,CRIMINAL DAMAGE,No,41.72890988,-87.63241712,01/01/2025 12:01:00 AM
JJ100402,CRIMINAL DAMAGE,No,41.74357975,-87.67297895,01/01/2025 12:01:00 AM
JJ100556,CRIMINAL DAMAGE,No,41.91229824,-87.7517755,01/01/2025 12:01:00 AM
JJ100592,WEAPONS VIOLATION,No,41.94140801,-87.7861868,01/01/2025 12:01:00 AM
JJ100619,CRIMINAL DAMAGE,No,41.99230263,-87.68800868,01/01/2025 12:01:00 AM
JJ100675,WEAPONS VIOLATION,No,41.69635828,-87.54378619,01/01/2025 12:01:00 AM
JJ100764,CRIMINAL DAMAGE,No,41.73533599,-87.66305381,01/01/2025 12:01:00 AM
JJ100786,BURGLARY,No,41.97271601,-87.80476936,01/01/2025 12:01:00 AM
JJ101395,CRIMINAL DAMAGE,No,41.77272042,-87.58506381,01/01/2025 12:01:00 AM
JJ101708,OTHER OFFENSE,No,41.80673607,-87.61652008,01/01/2025 12:01:00 AM
JJ102553,CRIMINAL DAMAGE,No,41.70257538,-87.64513191,01/01/2025 12:01:00 AM
JJ104130,THEFT,No,41.89317959,-87.63468615,01/01/2025 12:01:00 AM
JJ136772,DECEPTIVE PRACTICE,No,41.82086451,-87.70027677,01/01/2025 12:01:00 AM
JJ136878,OFFENSE INVOLVING CHILDREN,No,41.78339227,-87.59471112,01/01/2025 12:01:00 AM
JJ100008,WEAPONS VIOLATION,Yes,41.8100536,-87.61383841,01/01/2025 12:02:00 AM
JJ100005,BATTERY,No,41.8932409,-87.63034418,01/01/2025 12:02:00 AM
JJ100350,CRIMINAL DAMAGE,No,41.68179922,-87.68206742,01/01/2025 12:02:00 AM
JJ100040,BATTERY,No,41.94591099,-87.65547482,01/01/2025 12:03:00 AM
JJ100022,WEAPONS VIOLATION,No,41.91348864,-87.76314678,01/01/2025 12:04:00 AM
JJ100662,WEAPONS VIOLATION,No,41.74566887,-87.56249376,01/01/2025 12:05:00 AM
JJ100025,CRIMINAL DAMAGE,No,41.87475821,-87.76241165,01/01/2025 12:09:00 AM
